Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Training Stress Score®,Pasos,Profundidad máxima,Tiempo de inmersión,Temperatura mínima del agua,Tipo de gas,Intervalo en superficie,Descompresión,Tipo de agua,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Inmersión con un solo gas,5/25/26 15:07,FALSE,Inmersión con un solo gas,0.01,129,1:03:17,75,96,0,4,--,--,0,--,82,1:02:15,82.4,EANx (+1),2:34:06,No,Salada,1:03:17,1,89.6,0:00:00,1:03:17,"-1,640",70
Inmersión con un solo gas,5/25/26 11:28,FALSE,Manggarai Barat Inmersión con un solo gas,0,123,1:05:46,72,103,--,--,--,--,0,--,69,1:04:44,86,EANx (+1),2:30:06,No,Salada,1:05:46,1,87.8,0:00:00,1:05:46,"-1,640","-1,102"
Inmersión con un solo gas,5/25/26 8:00,FALSE,Inmersión con un solo gas,0,114,0:59:27,73,99,--,--,--,--,0,6,91,58:25:00,82.4,EANx (+1),15:56:50,No,Salada,0:59:27,1,87.8,0:00:00,0:59:27,"-1,640",-7
Inmersión con un solo gas,5/24/26 14:57,FALSE,Inmersión con un solo gas,0,176,1:07:11,82,110,--,--,--,--,0,8,77,1:06:10,84.2,EANx (+1),23:27:34,No,Salada,1:07:11,1,89.6,0:00:00,1:07:11,"-1,640","-1,192"
Inmersión con un solo gas,5/23/26 14:28,FALSE,Inmersión con un solo gas,0.01,132,1:02:26,76,99,0,2.4,--,--,0,--,74,1:01:25,82.4,EANx (+1),2:38:21,No,Salada,1:02:26,1,87.8,0:00:00,1:02:26,"-1,640",141
Inmersión con un solo gas,5/23/26 11:04,FALSE,Inmersión con un solo gas,0,80,0:46:47,67,88,--,--,--,--,0,22,100,45:45:00,84.2,EANx (+1),2:29:24,No,Salada,0:46:47,1,89.6,0:00:00,0:46:47,"-1,640",94
Inmersión con un solo gas,5/23/26 7:58,FALSE,Inmersión con un solo gas,0.05,52,0:37:16,62,80,0.1,7.6,"5,541","5,443",0,--,82,36:15:00,82.4,EANx (+1),3:04,No,Salada,0:37:16,1,84.2,0:00:00,0:37:16,"-1,640",-271
Inmersión con un solo gas,5/23/26 7:36,FALSE,Inmersión con un solo gas,0,32,0:19:47,68,91,--,--,--,--,0,--,78,18:46,80.6,EANx (+1),15:27:59,No,Salada,0:19:47,1,84.2,0:00:00,0:19:47,"-1,640",-19
Inmersión con un solo gas,5/22/26 15:13,FALSE,Manggarai Barat Inmersión con un solo gas,0,101,0:56:27,72,100,--,--,--,--,0,16,74,55:25:00,78.8,EANx (+1),6:56:59,No,Salada,0:56:27,1,84.2,0:00:00,0:56:27,"-1,640",95
Inmersión con un solo gas,5/22/26 7:36,FALSE,Manggarai Barat Inmersión con un solo gas,0,86,0:41:22,76,95,--,--,--,--,0,--,85,40:19:00,77,EANx (+1),15:39:35,No,Salada,0:41:22,1,82.4,0:00:00,0:41:22,"-1,640",-39
Inmersión con un solo gas,5/21/26 14:56,FALSE,Inmersión con un solo gas,0,116,1:00:31,73,108,--,--,--,--,0,26,30,59:31:00,80.6,EANx (+1),1:52:22,No,Salada,1:00:31,1,86,0:00:00,1:00:31,"-1,640",138
Inmersión con un solo gas,5/21/26 12:02,FALSE,Inmersión con un solo gas,0,106,1:03:29,70,97,--,--,--,--,0,--,49,1:02:27,84.2,EANx (+1),2:48:58,No,Salada,1:03:29,1,87.8,0:00:00,1:03:29,"-1,640",-535
Inmersión con un solo gas,5/21/26 8:16,FALSE,Manggarai Barat Inmersión con un solo gas,0.01,116,0:57:32,75,92,0,--,--,--,0,20,69,56:30:00,80.6,EANx (+1),14:57:27,No,Salada,0:57:32,1,86,0:00:00,0:57:32,"-1,640",-11
